ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
185,Feature/PR-4767 New Payment Reform changes effective 7 1 24,Greg Stone,MERGED,feature/PR-4767-New-Payment-Reform-changes-effective-7-1-24,develop,2024-07-15T14:27:53.629760+00:00,2024-07-16T22:13:47.147945+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/185
183,Feature/PR-4745 UpdateIR BERCriteria,Michael Walkley,MERGED,feature/PR-4745_UpdateIR_BERCriteria,develop,2024-07-01T18:02:25.782521+00:00,2024-07-10T19:06:38.935789+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/183
184,Feature/PR-4744 UpdateIRDailyLog,Michael Walkley,MERGED,feature/PR-4744_UpdateIRDailyLog,develop,2024-07-03T17:34:07.077450+00:00,2024-07-10T19:05:48.616115+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/184
182,Feature/PR-4741 v1 staff rights update sp,Greg Stone,MERGED,feature/PR-4741-v1-staff-rights-update-sp,develop,2024-05-06T21:49:50.768519+00:00,2024-06-10T21:41:23.872809+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/182
181,PR-4741 Add new condition to IsHKValid function in GetModifiersHandler.cls,Greg Stone,MERGED,hotfix/PR-4741-Bug-HK-Modifier,master,2024-05-03T21:45:26.201274+00:00,2024-05-03T21:55:56.352669+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/181
180,PS-14163 update a staff members rights,Greg Stone,MERGED,hotfix/PS-14163-Staff-member-Rights-update,master,2024-05-03T20:59:29.646067+00:00,2024-05-03T21:13:06.334712+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/180
177,Null check for Katie A. end dates.,Michael Walkley,MERGED,hotfix/PR-4722_UpdateHKModifierQuery,master,2024-04-18T19:14:33.664637+00:00,2024-05-03T18:19:01.452625+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/177
178,Add update script.,Michael Walkley,MERGED,hotfix/QA-12026_UpdateAccessLevel21_Grant_mhnGroup2Write,master,2024-04-22T21:21:06.777144+00:00,2024-04-29T15:56:01.550158+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/178
179,Hotfix Merge Back,Michael Walkley,MERGED,master,develop,2024-04-23T14:52:56.713341+00:00,2024-04-23T16:25:15.067780+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/179
174,Merge back to develop,Michael Walkley,MERGED,master,develop,2024-02-13T19:40:51.852246+00:00,2024-03-13T22:25:46.305855+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/174
